File_Path,SHA256,SSDeep,Cluster_Label,Threshold
/usr/src/app/datacopy/evasive-it/2019/6527e7670a887b11966d953ef249e398f899ebd6310683c4026b8279f168db6b,6527e7670a887b11966d953ef249e398f899ebd6310683c4026b8279f168db6b,6144:1mSUslm44d5nnM0fD/6I+sRJTvmB6ESxsY8ppz2wZcXubuQULM+5PCtZaWeBIlh9:1mLslD4bM0fD/HREO/fFCsWbZpOTE,8830,50
/usr/src/app/datacopy/evasive-it/2019/27981cc903d5f572427906e4a342ae8636e2e928915370e989d3556084425863,27981cc903d5f572427906e4a342ae8636e2e928915370e989d3556084425863,393216:3QHgwgjlFG7a2qo2XjH3yk28Au17fEpSVXmf/:rw4O7a2fUV28Au5fEmmf/,8831,50
/usr/src/app/datacopy/evasive-it/2019/4fa9e96ec9ec467b1c026f793dd7881b1c0805735fa5d1f1cebfd914fa34a51b,4fa9e96ec9ec467b1c026f793dd7881b1c0805735fa5d1f1cebfd914fa34a51b,24576:9slcP3hJQJgB0lgsUSaQBpKhFAXgRqoqD1JSQFd474mfH:9sqP3hD0ltnpKhggRqoqD1J7OPfH,8832,50
/usr/src/app/datacopy/evasive-it/2019/13759280bce1ad57480272b6020a9a3ae2cfcb8ad3e3e3b45926f14e56716694,13759280bce1ad57480272b6020a9a3ae2cfcb8ad3e3e3b45926f14e56716694,6144:lbDIRKm5uIfz/NJijkKSxvXyIvc18zOGpqhFz8MXNsIk7F/BtMKj63Yn3QuzI0Uz:lbkUm5uJjDSx5c16pqrfCZu3n0Ugk,6,50
/usr/src/app/datacopy/evasive-it/2019/43b1415d115728d1c76e75e1d9d81d05a1f4c4b2fe9ca5caa34141b8f8163a68,43b1415d115728d1c76e75e1d9d81d05a1f4c4b2fe9ca5caa34141b8f8163a68,196608:+4Dg9lOqdA4+GMrrgZAML0JDmVj1EKJiqL6ZVW84PyihZ8Xc4/5731:+4s3GPPMA/KLJi86N4Pyi/crN31,8833,50
/usr/src/app/datacopy/evasive-it/2019/e21915a6bd65f346951930f5d5ef4eef8967f9b2a4c68663124233a8e6d7de27,e21915a6bd65f346951930f5d5ef4eef8967f9b2a4c68663124233a8e6d7de27,49152:gDGeabGQiRCJMS6HQeEQoohU7Yb0VVfkhnpK+ojVCGhx8UO9m7p0R21MI:ReNQ6w8tu7Yb0V2/+Mk8U190E1f,8834,50
/usr/src/app/datacopy/evasive-it/2019/0f6094d11540d02405591452d2278a34dc84cdecf0e5ac3bb95abc3dc9449438,0f6094d11540d02405591452d2278a34dc84cdecf0e5ac3bb95abc3dc9449438,24576:5mUNJyJqb1FcMap2ATT5rmUNJyJqb1FcMapWmUNJyJqb1FcMap2ATT5rmUNJyJq+:5mV2AprmVWmV2AprmVWmV2AprmVG,3,50
/usr/src/app/datacopy/evasive-it/2019/d2a6b7e5b06ae0adcd241b52900e3941d0e4f09e1521a0c46ad5b8b0ad454fb5,d2a6b7e5b06ae0adcd241b52900e3941d0e4f09e1521a0c46ad5b8b0ad454fb5,6144:wmcD66RRjSPX7DR5JGmrpQsK3RD2u270jupCJsCxCr:5cD663SPXUZ2zkPaCxU,4,50
/usr/src/app/datacopy/evasive-it/2019/303ea68828e74d69f38af796e7f66a3fa35e85582d283f3104b8497654650ac6,303ea68828e74d69f38af796e7f66a3fa35e85582d283f3104b8497654650ac6,49152:r805mcInHxQVLPXndJFi06bNYeBc2SUJXkgr9EN1ta4U4qUdhYMYSQwbpt:o05mDRQVxWHqha0gr9Ertj79TYgt,8835,50
/usr/src/app/datacopy/evasive-it/2019/6647ebcef93251330c94bd7affbbe4c3ec3331706ab593d665cff60c81c0aeb6,6647ebcef93251330c94bd7affbbe4c3ec3331706ab593d665cff60c81c0aeb6,24576:Rb/nMCNj7J77nQDTlJq40/kXPd1bDezo+WMvjTtLXlvGMkbioq:BNj7J77nQDpt0/C1uU+JvPtLXNGMkbip,8836,50
