,File_Name,Cluster_Label_A,Cluster_Label_B,File_Path,best_k_value
50,505aa6d4a78915bc14c2721dffe6923fa5e0a2e6.bin,9,1986,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/5/0/5/505aa6d4a78915bc14c2721dffe6923fa5e0a2e6.bin,3
51,8b7e5f903ca7805f35124d1a2bdeb2766361ad58.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/b/7/8b7e5f903ca7805f35124d1a2bdeb2766361ad58.bin,7
52,8991b1981aa4f200b8b2af567148539cc3444ee2.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/9/9/8991b1981aa4f200b8b2af567148539cc3444ee2.bin,7
53,829991a925839d4fbf780fc5a0ddcbfba07f7ee8.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/2/9/829991a925839d4fbf780fc5a0ddcbfba07f7ee8.bin,7
54,8d819c5740592857b6c46571e3a3e0ad2e8670f4.bin,11,341,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/d/8/8d819c5740592857b6c46571e3a3e0ad2e8670f4.bin,7
55,8dee9b0e5fe5a4be049da62132e4d23086154b02.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/d/e/8dee9b0e5fe5a4be049da62132e4d23086154b02.bin,7
56,8d256f65d31e7336ec2a27197d3cdbe6b287756a.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/d/2/8d256f65d31e7336ec2a27197d3cdbe6b287756a.bin,7
57,8533956bfb9a6488c0c3cddd976aaaeda0201c9d.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/5/3/8533956bfb9a6488c0c3cddd976aaaeda0201c9d.bin,7
58,85d0114ba619b46e43262a841dc578a9fb7e66c2.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/5/d/85d0114ba619b46e43262a841dc578a9fb7e66c2.bin,7
59,800b42996330c1382e4bc22b1972bc7799ad4aa7.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/0/0/800b42996330c1382e4bc22b1972bc7799ad4aa7.bin,7
60,861e5fb432517a175be34f4af80061b687a47f80.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/6/1/861e5fb432517a175be34f4af80061b687a47f80.bin,7
61,87ac98a7d16dfe6776368a3c61d2e51801369f68.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/7/a/87ac98a7d16dfe6776368a3c61d2e51801369f68.bin,7
62,87ade3ff1318193b6e15617329a47bd35c6f89be.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/7/a/87ade3ff1318193b6e15617329a47bd35c6f89be.bin,7
63,877822feb68409f62e1718262db4e0a6083e2625.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/7/7/877822feb68409f62e1718262db4e0a6083e2625.bin,7
64,ab39766f19f37531af488088276de2c039e18e46.bin,11,341,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/3/ab39766f19f37531af488088276de2c039e18e46.bin,7
65,ab29de4aab6c38f041ab0ecfad507b5168de1bbd.bin,11,284,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/2/ab29de4aab6c38f041ab0ecfad507b5168de1bbd.bin,7
66,ab5e0dd5e76045b6eedb745ac4f4368fc7153436.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/5/ab5e0dd5e76045b6eedb745ac4f4368fc7153436.bin,7
67,ab6b5feeedc50ee8f93674fe508a984b0490cda2.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/6/ab6b5feeedc50ee8f93674fe508a984b0490cda2.bin,7
68,a11a960cf70335331d14299a3a62c3c3f97ecd2e.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/1/1/a11a960cf70335331d14299a3a62c3c3f97ecd2e.bin,7
69,af46274c882a06a95f7584ca8c0ee23c989e24a3.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/f/4/af46274c882a06a95f7584ca8c0ee23c989e24a3.bin,7
70,af07ad9d8a9dee4b2cf409b0acb4483bac1599e2.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/f/0/af07ad9d8a9dee4b2cf409b0acb4483bac1599e2.bin,7
71,a0478bd4e126d13c1f122417b04a67e79f1bcdef.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/0/4/a0478bd4e126d13c1f122417b04a67e79f1bcdef.bin,7
72,a62b7de2e57e3e69c067878fe58a331b5390916b.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/6/2/a62b7de2e57e3e69c067878fe58a331b5390916b.bin,7
73,a66e76b45fb21ec01a39e9ac196121c49ddc85bb.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/6/6/a66e76b45fb21ec01a39e9ac196121c49ddc85bb.bin,7
74,a7ab1801505b89e5664b74dd13ce1d4f06ebef94.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/7/a/a7ab1801505b89e5664b74dd13ce1d4f06ebef94.bin,7
75,a702eb0929ee3a326c18947337a9fc142b0956b2.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/7/0/a702eb0929ee3a326c18947337a9fc142b0956b2.bin,7
76,eea70ec2633ea56e393f85465a435e1d4eee906f.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/e/a/eea70ec2633ea56e393f85465a435e1d4eee906f.bin,7
77,eeb53848b1583dd181d75317e0cf2fa27426422a.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/e/b/eeb53848b1583dd181d75317e0cf2fa27426422a.bin,7
78,ee31edfa52c523f9aa43160b2780fcb182909a30.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/e/3/ee31edfa52c523f9aa43160b2780fcb182909a30.bin,7
79,eed50d73cc273ee77b5860ff7168569e487182d4.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/e/d/eed50d73cc273ee77b5860ff7168569e487182d4.bin,7
80,eb3ac1828049630d2ce012972c58f4f3a1c97087.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/b/3/eb3ac1828049630d2ce012972c58f4f3a1c97087.bin,7
81,e361aa900198176d1708ef60c4ca3f03588f1371.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/3/6/e361aa900198176d1708ef60c4ca3f03588f1371.bin,7
82,e98fef9e6c327459d883f76e08cb4bfb79243db4.bin,11,341,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/9/8/e98fef9e6c327459d883f76e08cb4bfb79243db4.bin,7
83,e21d13b03853efb635d23f8af52cd039180368bd.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/2/1/e21d13b03853efb635d23f8af52cd039180368bd.bin,7
84,e0031193e112c9ffa27f29144a5fb139cced1780.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/0/0/e0031193e112c9ffa27f29144a5fb139cced1780.bin,7
85,e6a40ed01e2e625f54d05bf27ba58f81da4c23ac.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/6/a/e6a40ed01e2e625f54d05bf27ba58f81da4c23ac.bin,7
86,e7c879bf1ace6373684deec14a4daf296519ca18.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/7/c/e7c879bf1ace6373684deec14a4daf296519ca18.bin,7
87,b339628c646b44c2030372a6c8704da2fb6eb8e8.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/b/3/3/b339628c646b44c2030372a6c8704da2fb6eb8e8.bin,7
88,b9bd6fbca38133dfd6d0567c1aad5c3d97a4dbbc.bin,11,341,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/b/9/b/b9bd6fbca38133dfd6d0567c1aad5c3d97a4dbbc.bin,7
89,b9dd780db1f6494675928ab3c8c3afaedff3fe04.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/b/9/d/b9dd780db1f6494675928ab3c8c3afaedff3fe04.bin,7
90,bdf430ebef39506120b5e554f89b4b47b6d98ae5.bin,11,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/b/d/f/bdf430ebef39506120b5e554f89b4b47b6d98ae5.bin,7
91,bd7401c91c8a489ad2ea946883f6ea7398005965.bin,11,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/b/d/7/bd7401c91c8a489ad2ea946883f6ea7398005965.bin,7
92,b5bf2466a54d078a7b5211663135be2ee31e6340.bin,11,341,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/b/5/b/b5bf2466a54d078a7b5211663135be2ee31e6340.bin,7
