,File_Name,Cluster_Label_A,Cluster_Label_B,File_Path,best_k_value
40,ee31edfa52c523f9aa43160b2780fcb182909a30.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/e/3/ee31edfa52c523f9aa43160b2780fcb182909a30.bin,"[2, 1, 1, 7]"
41,eed50d73cc273ee77b5860ff7168569e487182d4.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/e/d/eed50d73cc273ee77b5860ff7168569e487182d4.bin,"[2, 1, 1, 7]"
42,eb3ac1828049630d2ce012972c58f4f3a1c97087.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/b/3/eb3ac1828049630d2ce012972c58f4f3a1c97087.bin,"[2, 1, 1, 7]"
43,e361aa900198176d1708ef60c4ca3f03588f1371.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/3/6/e361aa900198176d1708ef60c4ca3f03588f1371.bin,"[2, 1, 1, 7]"
44,e98fef9e6c327459d883f76e08cb4bfb79243db4.bin,7,341,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/9/8/e98fef9e6c327459d883f76e08cb4bfb79243db4.bin,"[2, 1, 1, 7]"
45,e21d13b03853efb635d23f8af52cd039180368bd.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/2/1/e21d13b03853efb635d23f8af52cd039180368bd.bin,"[2, 1, 1, 7]"
46,e0031193e112c9ffa27f29144a5fb139cced1780.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/0/0/e0031193e112c9ffa27f29144a5fb139cced1780.bin,"[2, 1, 1, 7]"
47,e6a40ed01e2e625f54d05bf27ba58f81da4c23ac.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/6/a/e6a40ed01e2e625f54d05bf27ba58f81da4c23ac.bin,"[2, 1, 1, 7]"
48,e7c879bf1ace6373684deec14a4daf296519ca18.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/7/c/e7c879bf1ace6373684deec14a4daf296519ca18.bin,"[2, 1, 1, 7]"
49,b339628c646b44c2030372a6c8704da2fb6eb8e8.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/b/3/3/b339628c646b44c2030372a6c8704da2fb6eb8e8.bin,"[2, 1, 1, 7]"
